Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ghana,,,,,,,,,,,,2909000000,3321000000,3872000000,4078000000,3949000000,4174000000,4394000000,3721000000,4631000000,5276000000,5341000000,4941000000,2548000000,1799000000,2987000000,4372000000,4676000000,4808000000,5231000000,5721000000,6109000000,6602000000,6291000000,6082000000,6097000000,6625000000,6851000000,3830000000,5169000000,6609000000,6609000000,5036000000,3886000000,5281000000,5629000000,5619000000,3727000000,6195000000,6877000000,6996000000,7561000000,,,
Greece,465000000,581000000,646000000,847000000,790000000,801000000,1730000000,1660000000,1368000000,2055000000,2636000000,2652000000,2677000000,2223000000,2347000000,2015000000,1879000000,1922000000,2988000000,3566000000,3405000000,3407000000,3561000000,2340000000,2862000000,2805000000,3235000000,2781000000,2367000000,1901000000,1771000000,3101000000,2212000000,2330000000,2637000000,3564000000,4386000000,3918000000,3787000000,4755000000,4144000000,2932000000,3577000000,5892000000,5918000000,6406000000,7679000000,4594000000,5750000000,8185000000,10522000000,8143000000,8986000000,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,288000000,256000000,276000000,301000000,346000000,399000000,309000000,343000000,325000000,286000000,379000000,499000000,738000000,578000000,635000000,1481000000,1487000000,1609000000,1903000000,2003000000,2048000000,1811000000,1906000000,2020000000,2344000000,2314000000,2368000000,2483000000,2955000000,3128000000,2810000000,2584000000,3425000000,4676000000,5142000000,4861000000,4938000000,5210000000,5224000000,5908000000,5450000000,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,39000000,91000000,96000000,138000000,184000000,182000000,166000000,202000000,206000000,232000000,261000000,254000000,209000000,212000000,231000000,338000000,336000000,408000000,422000000,474000000,349000000,321000000,274000000,233000000,253000000,272000000,200000000,306000000,405000000,283000000,283000000,260000000,255000000,260000000,265000000,271000000,154000000,181000000,207000000,177000000,151000000,,,
Honduras,,,,,,,,,,,,242000000,304000000,359000000,400000000,420000000,432000000,469000000,647000000,741000000,782000000,821000000,846000000,831000000,874000000,1305000000,1428000000,1747000000,1900000000,1994000000,2279000000,2312000000,2192000000,2258000000,1817000000,1673000000,2039000000,2085000000,1923000000,2136000000,2261000000,1913000000,1626000000,1777000000,1475000000,1877000000,2212000000,2359000000,2488000000,2938000000,3105000000,3099000000,,,
